id,mag,place,time,updated,tz,url,detail,felt,cdi,mmi,alert,status,tsunami,sig,net,code,ids,sources,types,nst,dmin,rms,gap,magType,type,title
us6000jlwh,4.7,"19 km ENE of G├╢ksun, Turkey",1675704384437,1675720740040,,https://earthquake.usgs.gov/earthquakes/eventpage/us6000jlwh,https://earthquake.usgs.gov/earthquakes/feed/v1.0/detail/us6000jlwh.geojson,0,0.000000000000000,0.000000000000000,,reviewed,0,340,us,6000jlwh,",us6000jlwh,",",us,",",origin,phase-data,",80,1.001,0.970,42.000,mb,earthquake,"M 4.7 - 19 km ENE of G├╢ksun, Turkey"
us6000jlww,4.1,"8 km NNW of G├╢ksun, Turkey",1675704121451,1675720449040,,https://earthquake.usgs.gov/earthquakes/eventpage/us6000jlww,https://earthquake.usgs.gov/earthquakes/feed/v1.0/detail/us6000jlww.geojson,0,0.000000000000000,0.000000000000000,,reviewed,0,259,us,6000jlww,",us6000jlww,",",us,",",origin,phase-data,",24,0.902,1.100,77.000,mb,earthquake,"M 4.1 - 8 km NNW of G├╢ksun, Turkey"
us6000jlu3,4.3,"9 km WSW of Nurhak, Turkey",1675703507700,1675720764040,,https://earthquake.usgs.gov/earthquakes/eventpage/us6000jlu3,https://earthquake.usgs.gov/earthquakes/feed/v1.0/detail/us6000jlu3.geojson,0,0.000000000000000,0.000000000000000,,reviewed,0,284,us,6000jlu3,",us6000jlu3,",",us,",",origin,phase-data,",38,0.757,1.020,64.000,mb,earthquake,"M 4.3 - 9 km WSW of Nurhak, Turkey"
us6000jlth,4.5,"14 km N of Nurhak, Turkey",1675702537348,1675716306040,,https://earthquake.usgs.gov/earthquakes/eventpage/us6000jlth,https://earthquake.usgs.gov/earthquakes/feed/v1.0/detail/us6000jlth.geojson,0,0.000000000000000,0.000000000000000,,reviewed,0,312,us,6000jlth,",us6000jlth,",",us,",",origin,phase-data,",82,1.455,0.510,67.000,mb,earthquake,"M 4.5 - 14 km N of Nurhak, Turkey"
us6000jlta,5.0,"6 km SSW of G├╢ksun, Turkey",1675701809298,1675983321040,,https://earthquake.usgs.gov/earthquakes/eventpage/us6000jlta,https://earthquake.usgs.gov/earthquakes/feed/v1.0/detail/us6000jlta.geojson,3,6.000000000000000,0.000000000000000,,reviewed,0,386,us,6000jlta,",us6000jlta,",",us,",",dyfi,moment-tensor,origin,phase-data,",126,0.981,0.770,34.000,mb,earthquake,"M 5.0 - 6 km SSW of G├╢ksun, Turkey"
us6000jlt7,4.9,"14 km NNE of Kirikhan, Turkey",1675701131313,1675708809801,,https://earthquake.usgs.gov/earthquakes/eventpage/us6000jlt7,https://earthquake.usgs.gov/earthquakes/feed/v1.0/detail/us6000jlt7.geojson,0,1.000000000000000,0.000000000000000,,reviewed,0,369,us,6000jlt7,",us6000jlt7,",",us,",",dyfi,origin,phase-data,",51,0.831,0.970,93.000,mb,earthquake,"M 4.9 - 14 km NNE of Kirikhan, Turkey"
us6000jlt1,4.8,"10 km E of G├╢ksun, Turkey",1675700799603,1675701958040,,https://earthquake.usgs.gov/earthquakes/eventpage/us6000jlt1,https://earthquake.usgs.gov/earthquakes/feed/v1.0/detail/us6000jlt1.geojson,0,0.000000000000000,0.000000000000000,,reviewed,0,354,us,6000jlt1,",us6000jlt1,",",us,",",origin,phase-data,",68,0.976,0.670,39.000,mb,earthquake,"M 4.8 - 10 km E of G├╢ksun, Turkey"
us6000jlt5,4.6,"26 km WSW of Ekin├╢z├╝, Turkey",1675700775509,1675702946040,,https://earthquake.usgs.gov/earthquakes/eventpage/us6000jlt5,https://earthquake.usgs.gov/earthquakes/feed/v1.0/detail/us6000jlt5.geojson,0,0.000000000000000,0.000000000000000,,reviewed,0,326,us,6000jlt5,",us6000jlt5,",",us,",",origin,phase-data,",88,0.846,0.580,61.000,mb,earthquake,"M 4.6 - 26 km WSW of Ekin├╢z├╝, Turkey"
us6000jlsy,4.3,"10 km WSW of Ekin├╢z├╝, Turkey",1675699603568,1675705432040,,https://earthquake.usgs.gov/earthquakes/eventpage/us6000jlsy,https://earthquake.usgs.gov/earthquakes/feed/v1.0/detail/us6000jlsy.geojson,0,0.000000000000000,0.000000000000000,,reviewed,0,284,us,6000jlsy,",us6000jlsy,",",us,",",origin,phase-data,",19,0.858,0.490,100.000,mb,earthquake,"M 4.3 - 10 km WSW of Ekin├╢z├╝, Turkey"
us6000jlsu,5.2,"15 km NNW of ├çelikhan, Turkey",1675697612803,1675698589040,,https://earthquake.usgs.gov/earthquakes/eventpage/us6000jlsu,https://earthquake.usgs.gov/earthquakes/feed/v1.0/detail/us6000jlsu.geojson,0,0.000000000000000,0.000000000000000,,reviewed,0,416,us,6000jlsu,",us6000jlsu,",",us,",",origin,phase-data,",94,1.255,0.940,66.000,mb,earthquake,"M 5.2 - 15 km NNW of ├çelikhan, Turkey"
